問題ID,分野,問題文,画像,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,解説画像
165,ストラテジ系,ロングテールの考え方を活用したインターネットにおけるビジネスの説明として，適切なものはどれか。,,Webサイト上で個人が出品した物品を参加者が入札し，購入する。,インターネット上に複数の仮想商店からなる Webサイトを構築し，出店料を徴収する。,販売数が少ない商品でもWebサイトで売り続けることができる。,誘導実績に応じた報酬を支払うことを条件に，ほかのWebサイトにリンクを掲載し，自社商品の購入Webサイトへの顧客誘導を図る。,3,ロングテールは、「一般の販売店であまり売れない商品が、ネット店舗での欠かせない収益源になる」とする考え方です。「売れ筋ではないが買う人がいる多数のニッチ商品の売り上げを積み重ねることによって、売れ筋商品の売り上げを超えることができる」というオンライン販売という売り場面積を考慮しなくてもいい市場で生まれたビジネスモデル。オンライン販売のAmazonが有名。,
166,テクノロジ系,データベース設計におけるデータ分析で行うこととして，適切なものはどれか。,,データウェアハウスから業務ごとに必要な情報を抽出する。,データ項目の内容が，指定された条件を満足する行だけを抽出する。,必要なデータ項目を洗い出し，項目間の関連を整理する。,膨大な情報から統計的手法などを用いて，ビジネスに活用できる情報を探索する。,3,"データ分析は、データベース設計の初期段階における作業で、データベース化の対象となるデータを分析・整理する工程です。主に次の作業が行われます。
　・対象業務にとって必要なデータの洗出し
　・各データの意味とデータ同士の関連性の分析・整理
　・データ項目の標準化　など",
167,テクノロジ系,CSIRTとして行う活動の例として，最も適切なものはどれか。,,OSやアプリケーションソフトウェアのセキュリティパッチを定期的に適用する。,地震や洪水などの自然災害を想定し，情報資産を守るために全社的な事業継続計画を策定する。,セキュリティ事故の発生時に影響範囲を調査して，被害拡大を防止するための対策実施を支援する。,保守業者がサーバ室で作業した日に，作業員の入退出が適切に記録されていたことを監査する。,3,"CSIRT(Computer Security Incident Response Team)は、組織や企業内など限られた範囲で発生したセキュリティインシデントの初動対応、分析、原因究明、報告、再発防止策の立案などを行う専門チームです。組織がサイバー攻撃の脅威に備え、被害を最小限に抑えるために中心的な役割を担います。

CSIRTは規模や役割に応じて様々な形態があります。具体的には、自組織が関わるインシデントを対応範囲とする「内部CSIRT」、国や地域をその範囲とする「National CSIRT：NIRT」、自社製品の脆弱性に対応する「Vendor Team」など挙げられます。",
168,テクノロジ系,"所属するグループ及び個人の属性情報によって，人事ファイルへのアクセスをコントロールするシステムがある。人事部グループの属性情報と，そこに所属する4人の個人の属性情報が次の条件の場合，人事ファイルを参照又は更新可能な人数の組合せはどれか。

〔条件〕
　(1)属性情報は3ビットで表される。
　(2)各ビットは，左から順に参照，更新，追加・削除に対応し，1が許可，0が禁止を意味する。
　(3)グループの属性情報は，個人の属性情報が登録されていない場合にだけ適用される。
　(4)グループと個人の属性情報は次のとおりとする。

人事部グループ：110
　Aさん：100　Bさん：110
　Cさん：001　Dさん：未登録",168qa.png,ア,イ,ウ,エ,4,"アクセス権限とビット位置は以下のように対応しています。

4人のアクセス権限を表にまとめると次のようになります。個人の属性情報が登録されていないDさんには、人事部グループの属性情報である""110""が適用されます。
したがって、参照可能人数は3名、更新可能人数は2名になります。",168exp(1).png;168exp(2).png
169,テクノロジ系,cookieを説明したものはどれか。,,Webサイトが，Webブラウザを通じて訪問者のPCにデータを書き込んで保存する仕組み又は保存されるデータのこと,Webブラウザが，アクセスしたWebページをファイルとしてPCのハードディスクに一時的に保存する仕組み又は保存されるファイルのこと,Webページ上で，Webサイトの紹介などを目的に掲載されている画像のこと,ブログの機能の一つで，リンクを張った相手に対してその旨を通知する仕組みのこと,1,"cookie(クッキー)は、Webサイトが利用者のコンピュータに任意のデータを保存する仕組みです。Webページにアクセスした際に、WebサーバがWebブラウザに対してデータの保存を指示することで実現されています。保存されたデータは、次回以降同じWebサイトにアクセスする度に、HTTPのリクエストに載せてWebサーバに送信されます。

cookieの代表的な使用目的は、会員制サイトにおけるログイン状態の管理、ショッピングサイトのカート、Webページのアクセス解析などにおける利用者の識別です。自動ログインもcookieを用いた仕組みです。他にも利用者ごとの設定情報を記録しておき、次回アクセス時に以前の状態を復元するなどの用途でも使用されます。",169exp.png
170,テクノロジ系,職場で不要になったPCを廃棄する場合の情報漏えい対策として，最も適切なものはどれか。,,OSが用意しているファイル削除の機能を使って，PC内のデータファイルを全て削除する。,PCにインストールされているアプリケーションを，全てアンインストールする。,PCに内蔵されている全ての記憶装置を論理フォーマットする。,専用ソフトなどを使って，PCに内蔵されている全ての記憶装置の内容を消去するために，ランダムなデータを規定回数だけ上書きする。,4,"業務で使用したPC内のHDD等には機密情報が残っているので、情報漏えいを防ぐためには適切な方法で処分する必要があります。総務省""国民のためのサイバーセキュリティサイト""によれば、不要になったPCのHDD/SSDを処分する方法には、次のようなものがあります。
　・データ消去用のソフトウェアを利用する
　・専門業者のデータ消去サービスを利用する
　・記憶媒体を物理的に破壊する
　・データ全体を暗号化し、復号鍵を消去する「暗号化消去」を行う",
171,ストラテジ系,クラウドファンディングの事例として，最も適切なものはどれか。,,インターネット上の仮想的な記憶領域を利用できるサービスを提供した。,インターネットなどを通じて，不特定多数の人から広く寄付を集めた。,曇りや雨が多かったことが原因で発生した損失に対して金銭面での補償を行った。,大量の情報の中から目的に合致した情報を精度高く見つける手法を開発した。,2,クラウドファンディング(Crowdfunding)は、群衆（Crowd）と 資金調達（Funding）という言葉を組み合わせた造語で、インターネットの専用サイトを通じて不特定多数の賛同者から資金を集める仕組みです。寄付型、投資型、購入型などの多様なタイプがあり、起業家やクリエイターが活動資金を調達する場として注目されています。,
172,ストラテジ系,表に示すA社の損益の変化に関する記述のうち，適切なものはどれか。,172qa.png,売上総利益が減って，経常利益は増減がなかった。,売上総利益は増減がなく，営業利益が減った。,営業利益が減って，経常利益は増減がなかった。,営業利益は増減がなく，経常利益が増えた。,4,"売上総利益、営業利益、経常利益は次の式で計算します。

　売上総利益＝売上高－売上原価
　営業利益＝売上総利益－販売費及び一般管理費
　経常利益＝営業利益＋営業外収益－営業外費用

前期と当期の利益を計算すると次のようになります。当期の数字の( )内は前期比の増減を↑↓で示しています。

[前期]
売上総利益＝2,000－850＝1,150
営業利益＝1,150－950＝200
経常利益＝200＋10－20＝190

[当期]
売上総利益＝2,000－900＝1,100(↓)
営業利益＝1,100－900＝200(変わらず)
経常利益＝200＋20－10＝210(↑)",
173,テクノロジ系,情報セキュリティに関して発生したインシデントのうち，可用性が損なわれる直接の原因となったものはどれか。,,PCがウイルスに感染し，知らないうちにPC内の情報が流出した。,空調の故障で温度が上がり，サーバが停止した。,サーバに不正侵入されて個人情報が盗まれた。,ファイルの中の取引データの金額を誤って更新した。,2,"情報セキュリティマネジメントは、「機密性」「完全性」「可用性」の3要素を維持・管理することを目的とします。
　・機密性（Confidentiality）
　許可された正規のユーザーだけが情報にアクセスできる特性を示す
　・完全性（Integrity）
　情報が完全で、改ざん・破壊されていない特性を示す
　可用性（Availability）
　ユーザーが必要な時に、必要な機能を利用可能である特性を示す",
174,テクノロジ系,"ISMSにおける情報セキュリティリスクの特定に関する記述において，a，bに入れる字句の適切な組合せはどれか。

ISMSの【　a　】における情報の機密性，【　b　】及び可用性の喪失に伴うリスクを特定する。",174qa.png,ア,イ,ウ,エ,3,"〔【　a　】について〕
ISMSではセキュリティ方針を定める前に適用範囲を定め文書化します。そして管理活動は適用範囲内を対象として行われます。したがって特定するのはISMSの適用範囲内のセキュリティリスクだけです。

〔【　b　】について〕
前後が機密性と可用性なので、同じく情報セキュリティの3要素である完全性が入ると判断できます。

JIS Q 27001によれば、セキュリティリスクの特定は以下によって行われるとされています。

「ISMSの適用範囲内における情報の機密性，完全性及び可用性の喪失に伴うリスクを特定するために，情報セキュリティリスクアセスメントのプロセスを適用する。そしてリスクの所有者を特定する」",
175,マネジメント系,システム監査人の職業倫理に照らしてふさわしくない行為はどれか。,,監査役による業務監査における指摘事項の確認,成功報酬契約による監査,専門知識を持った他の監査人との共同監査,前年実施した別の監査人による監査報告内容の確認,2,"監査人の行為規範であるシステム監査基準では、システム監査人に求められる独立性，客観性と職業倫理を以下のように規定しています。
　・外観上の独立性
　システム監査人は、システム監査を客観的に実施するために、監査対象から独立していなければならない。監査の目的によっては、被監査主体と身分上、密接な利害関係を有することが　あってはならない。
　・精神上の独立性
　システム監査人は、システム監査の実施に当たり、偏向を排し、常に公正かつ客観的に監査判断を行わなければならない。
　・職業倫理と誠実性
　システム監査人は、職業倫理に従い、誠実に業務を実施しなければならない。

これらのことから「成功報酬契約による監査」は、被監査主体との間に利害関係が発生するため監査人の独立性に欠け、ふさわしくない行為といえます。",
176,ストラテジ系,RFPに基づいて提出された提案書を評価するための表を作成した。最も評価点が高い会社はどれか。ここで，◎は4点，○は3点，△は2点，×は1点の評価点を表す。また，評価点は，金額，内容，実績の各値に重み付けしたものを合算して算出するものとする。,176qa.png,A社,B社,C社,D社,2,評価点に評価項目ごとの重みを乗じたものを合算して企業ごとの総合点を算出します。,
177,ストラテジ系,情報セキュリティマネジメントシステムや品質マネジメントシステムなどの標準化を行っている国際標準化機構はどれか。,,ANSI,CEN,ISO,JIS,3,"1.American National Standards Instituteの略。アメリカ合衆国の工業的な分野の標準化組織であり公の合意形成のために、さまざまな規格開発をおこなう団体です。

2.欧州標準化委員会のことで、ヨーロッパ圏における主要な統一規格や技術文書を策定する団体です。

3.ISOは、電気分野を除く工業分野の国際標準規格を策定するための非政府組織です。ITパスポート試験でもISO 9000系(品質マネジメントシステム)、ISO 14000系(環境マネジメントシステム)、ISO 27000系(情報セキュリティマネジメントシステム)の3つは頻出です。

4.Japanese Industrial Standardsの略。日本産業規格の略称です。",
178,テクノロジ系,複数のIoTデバイスとそれらを管理するIoTサーバで構成されるIoTシステムにおける，エッジコンピューティングに関する記述として，適切なものはどれか。,,IoTサーバ上のデータベースの複製を別のサーバにも置き，両者を常に同期させて運用する。,IoTデバイス群の近くにコンピュータを配置して，IoTサーバの負荷低減とIoTシステムのリアルタイム性向上に有効な処理を行わせる。,IoTデバイスとIoTサーバ間の通信負荷の状況に応じて，ネットワークの構成を自動的に最適化する。,IoTデバイスを少ない電力で稼働させて，一般的な電池で長期間の連続運用を行う。,2,"エッジコンピューティングは、利用者や端末と物理的に近い場所に処理装置を分散配置して、ネットワークの端点でデータ処理を行う技術の総称です。処理装置をクラウド上に配置する従来の方式よりも端末と処理装置の距離が短縮されるので、アプリケーション処理の低遅延化やネットワーク負荷の低減が期待できます。高いリアルタイム性が要求されるIoTに適した技術として注目されています。

エッジコンピューティングは、演算を行うコンピュータを端末(IoTの場合はIoTデバイス)の近くに置いていることがポイントとなります。",
179,テクノロジ系,攻撃者が，システムの利用者になりすましてシステム管理者に電話をかけ，パスワードを忘れたと言ってパスワードを初期化してもらい，システムに侵入した。このような行為を何というか。,,DoS攻撃,総当たり攻撃,ソーシャルエンジニアリング,バックドア,3,設問の事例のように、情報通信技術の方法を用いるのではなく、人のミスや心理的な隙に付け込むことでパスワードなどの秘密情報を不正に取得する方法を総称してソーシャルエンジニアリングといいます。関係者を装って電話でパスワードを聞き出す（なりすまし）、肩越しに画面やキー入力を見る（ショルダーハッキング）、プリンターやデスクやごみ箱に残された書類を漁る（トラッシング）などの行為がソーシャルエンジニアリングの代表例です。,
180,マネジメント系,財務システムの機能追加プロジェクトのプロジェクトマネージャに任命されたA さんは，プロジェクトのリスクチェックリストを作成するために，過去のプロジェクトで使用したリスクチェックリストを手に入れた。リスクチェックリストに関する記述のうち，適切なものはどれか。,,過去のリスクチェックリストは過去の情報や知識を基に作成されたものなので，新たに作成するリスクチェックリストの参考にする。,過去のリスクチェックリストは過去の情報や知識を基に作成されたものなので，これに載っていないリスクの検討は不要と判断する。,プロジェクトごとにばらつきが出ないように，過去のリスクチェックリストをそのまま使用する。,プロジェクトごとにリスクは変化するので，過去のリスクチェックリストに載っていないリスクだけで新たにリスクチェックリストを作成する。,1,過去のプロジェクトでの経験を現在のプロジェクトに生かすことによって、信頼性の高いチェックリストを作成することが可能です。,
181,テクノロジ系,マルウェアの説明として，適切なものはどれか。,,インターネットから社内ネットワークへの不正侵入を検知する仕組み,コンピュータウイルス，ワームなどを含む悪意のあるソフトウェアの総称,ネットワークを介し，コンピュータ間でファイル共有を行うソフトウェアの総称,話術や盗み聞きなどによって，社内の情報を盗み出す行為,2,マルウェア(Malware)の「マル(mal)」とは「悪の…」という意味で、不正な有害な動作をする目的で悪意をもって作成されたソフトウェアやプログラムの総称です。単にウィルスだけでなくボットやスパイウェア、トロイの木馬やキーロガー、改造ツールなども含む意味で使われます。,
182,ストラテジ系,不良品や故障，クレームなどの件数を原因別や状況別に分類し，それを大きい順に並べた棒グラフと，それらの累積和を折れ線グラフで表した図はどれか。,,管理図,系統図,パレート図,マトリックス図,3,"パレート図は、分析対象の項目を値の大きい順に並べた棒グラフと、累積構成比を表す折れ線グラフを組み合わせた複合グラフです。主に複数の分析対象の中から重要である要素を識別するために使用されます。
下４つは管理図、系統図、パレート図、マトリックス図の順になります。",182exp(1).png;182exp(2).png;182exp(3).png;182exp(4).png
183,マネジメント系,"プロジェクトのスコープにはプロジェクトの成果物の範囲を表す成果物スコープと，プロジェクトの作業の範囲を表すプロジェクトスコープがある。受注したシステム開発のプロジェクトを推進中に発生した事象a～cのうち，プロジェクトスコープに影響が及ぶものだけを全て挙げたものはどれか。

　a.開発する機能要件の追加
　b.担当するシステムエンジニアの交代
　c.文書化する操作マニュアルの追加",,"a, b","a, c",b,"b, c",2,"スコープ(Scope)とは、プロジェクトの実施範囲を示します。プロジェクトスコープは、プロジェクトの作業の範囲を表すので、作業範囲に変更があるかどうかという観点で各事象を判断します。
　a.正しい。追加開発に伴い、設計、実装、テストなどの作業が必要になるのでプロジェクトスコープに影響を与えます。
　b.誤り。担当者が交代しても作業内容自体は変わりません。
　c.正しい。成果物スコープに影響を与えると同時に、操作マニュアル作成作業が追加されるので、プロジェクトスコープにも影響を与えます。",
184,マネジメント系,表計算ソフトのマクロ機能を活用し，製品ごとの営業イベントの成果を分析するプログラムを作成しようとしている。このプログラムのソフトウェア要件定義の作業として適切なものはどれか。,,組み込むマクロの動作ロジックを検討し，コーディングする。,組み込んだマクロが正しく動作するか，テスト用のデータで試してみる。,集計するデータ項目としてどのようなものが必要であるかを洗い出す。,分析対象年度の製品ごとの各月の売上データを表計算ソフトに入力する。,3,"ソフトウェア要件定義とは、開発を行うソフトウェアの機能や能力などの要件を明らかにする作業です。システムを構成する各ソフトウェアごとに行われます。

明らかにする要素は、性能・機能のほか安全性、セキュリティの仕様、データ定義及びデータベースに対する要件も含まれています。",
185,テクノロジ系,無線LANの暗号化方式はどれか。,,ESSID,HTTPS,POP3,WPA2,4,WPA2(Wi-Fi Protected Access 2)は、無線LANのセキュリティプロトコルWPAの脆弱性を改善した次期バージョンです。暗号化アルゴリズムがWEP、WPAで使用されていた脆弱性のある「RC4」からNIST標準の「AES」に変更され、解読攻撃に対する耐性が高められています。,
186,テクノロジ系,特定のメールアドレスに電子メールを送ると，そのアドレスに対応して登録済みの複数のメールアドレスに同じ内容のメールを配信する仕組みはどれか。,,Webメール,チェーンメール,メーリングリスト,リプライメール,3,"メーリングリスト(Mailing List)は、電子メールを特定のアドレスに送信すると、リストに登録されているメンバー全員に同じ内容のメールが同時に転送される仕組みです。共通の趣味や目的を持つメンバー内において、情報を共有する目的で利用されることがほとんどです。

メーリングリスト用のサーバソフトウェアには、fml、LISTSERV、majordomo、Mailmanなどがあります。",
187,ストラテジ系,図によって表される企業の組織形態はどれか。,187qa.png,事業部制組織,社内ベンチャー組織,職能別組織,マトリックス組織,3,"情報処理技術者試験で問われる企業の組織形態のうち代表的なものについてまとめておきます。
　・事業部制組織
　取り扱う製品や担当する地域ごとに分化させ、事業部ごとに会社として必要なスタッフの全部または一部を有した組織。事業部ごとに業績を求められる独立採算制が採用されていることが多い
　・職能別組織
　経営層の下に営業、製造、経理、総務などのような職能別に構成された組織。各組織がそれぞれの業務の専門性を高めやすいメリットがある反面、部門間の隔たりが生じやすくなるというデメリットもある
　・プロジェクト組織
　本来の業務とは別にある特定の目的を達成するために編成された一時的かつ柔軟な組織。臨時的な集まりであるため目的達成後は解散することになる
　・マトリックス組織
　業務担当者が複数の異なる管理者の指示命令のもとで作業する組織形態。巨大企業やグローバル企業によく見られる。部門間の隔たりを小さくできる反面、指揮命令系統が複雑になりやすい
　・社内ベンチャー組織
　新事業の開発のために、社内に自由にベンチャーをつくらせ、それを小さな独立起業のごとく運営させる仕組み
　・カンパニー制組織
　部門ごとをあたかも独立した一つの会社であるかのように分化させ事業を運営する組織形態。事業部制組織よりもさらに移譲される権限が大きいが、実際は社内組織の1つとして本社の下に位置するため、各部門の形態は「事業所以上子会社未満」という位置づけになる",
188,テクノロジ系,"PCの画面表示の設定で，解像度を1,280×960ピクセルの全画面表示から1,024×768ピクセルの全画面表示にしたとき，ディスプレイの表示状態はどのように変化するか。",,MPEG動画の再生速度が速くなる。,画面に表示される文字が大きくなる。,縮小しないと表示できなかったJPEG画像が縮小なしで表示できるようになる。,ディスプレイの表示色数が少なくなる。,2,ディスプレイの解像度とは、画面をいくつのピクセルに分割して表示するかをいうことを表わす値です。解像度が高いほうがい画面上の総ピクセル数が多くなるので鮮明な表示ができます。,188exp(1).png;188exp(2).png
189,テクノロジ系,"ファイルの階層構造に関する次の記述中のa，bに入れる字句の適切な組合せはどれか。

階層型ファイルシステムにおいて，最上位の階層のディレク卜リを【　a　】ディレク卜リという。ファイルの指定方法として，カレントディレクトリを基点として目的のファイルまでのすべてのパスを記述する方法と，ルートディレクトリを基点として目的のファイルまでの全てのパスを記述する方法がある。ルートディレクトリを基点としたファイルの指定方法を【　b　】パス指定という。",189qa.png,ア,イ,ウ,エ,3,"〔【　a　】について〕
カレントディレクトリ、ルートディレクトリのそれぞれの意味を確認します。
　・カレントディレクトリ
　ユーザーが現時点で作業を行なっているディレクトリ(フォルダ)のこと
　・ルートディレクトリ
　階層型ディレクトリ構造の中で最上階層にあるディレクトリ(フォルダ)のこと
【　a　】には、最上位の階層のディレクトリを意味する字句が入るのでルートが適切です。

〔【　b　】について〕
絶対パス、相対パスはファイルパスの指定方法です。
　・絶対パス
　階層の最上位であるルートディレクトリを基点として、目的のファイルやディレクトリまでの全ての経路をディレクトリ構造に従って示す方法
　・相対パス
　現在作業を行っているカレントディレクトリを基点として、目的のファイルやディレクトリまでの全ての経路をディレクトリ構造に従って示す方法
【　b　】には、ルートディレクトリを基点としたファイルの指定方法を意味する字句が入るので絶対が適切です。",
190,マネジメント系,"ITサービスマネジメントにおいて，過去のインシデントの内容をFAQとしてデータベース化した。それによって改善が期待できる項目に関する記述a～cのうち，適切なものだけを全て挙げたものはどれか。
　a.ITサービスに関連する構成要素の情報を必要な場合にいつでも確認できる。
　b.要員候補の業務経歴を確認し，適切な要員配置計画を立案できる。
　c.利用者からの問合せに対する一次回答率が高まる。",,a,"a, b","a, c",c,4,"FAQ(Frequently Asked Questions)は、何回も繰り返し質問される項目とその質問への回答をまとめたコンテンツのことです。いわゆる""よくある質問とその答え""や""Q&A""と呼ばれるものです。頻繁に問い合わせがある内容をその答えとともに提示することで、素早く解決できるようになるため、サポートデスクのコスト削減につながります。
　a.不適切。構成管理データベースを構築することによる効果です。FAQとは関係ありません。
　b.不適切。人材データベースを構築することによる効果です。FAQとは関係ありません。
　c.適切。FAQに登録されている質問に対してはサービスデスク要員のスキルによらず回答できるようになるので、サービスデスクによる一次サポートで解決できる問合せの割合が増える効果が期待できます。",
191,マネジメント系,情報システムの要件は，業務要件を実現するための機能を記述した機能要件と，性能や保守のしやすさなどについて記述した非機能要件に分類することができる。機能要件に該当するものはどれか。,,システムが取り扱う入出力データの種類,システム障害発生時の許容復旧時間,システムの移行手順,目標とするシステムの品質と開発コスト,1,"「機能要件」と「非機能要件」はどちらも要件定義プロセスで決定される要件ですが、以下のような違いがあります。
　・機能要件
　システムやソフトウェア開発に際して定義される要件のうち、業務要件を実現する機能に関するもの。業務をシステム化する際に必ず満たすべき要件のことを指す。そのシステムが扱うデータの種類や構造、処理内容、ユーザーインタフェース、帳票などの出力の形式などが含まれる。
　・非機能要件
　機能要件以外の要件のこと。性能や可用性、及び運用・保守性などの「品質要件」のほか、「技術要件」「セキュリティ」「運用・操作要件」「移行要件」「環境対策」などが非機能要件として定義される項目となる。",
192,マネジメント系,リバースエンジニアリングで実施する作業として，最も適切なものはどれか。,,開発中のソフトウェアに対する変更要求などに柔軟に対応するために，短い期間の開発を繰り返す。,試作品のソフトウェアを作成して，利用者による評価をフィードバックして開発する。,ソフトウェア開発において，上流から下流までを順番に実施する。,プログラムを解析することで，ソフトウェアの仕様を調査して設計情報を抽出する。,4,リバースエンジニアリングは、既存ソフトウェアの動作を解析するなどして、製品の構造を分析し、そこから製造方法や動作原理、設計図、ソースコードなどを調査する技法です。自社製品の保守及びセキュリティ強化などの目的で実施されるほか、他社製品の技術仕様を明らかにする目的でも行われます。,
193,マネジメント系,メールサービスにおけるITサービスマネジメントの可用性の要件に関する事例として，適切なものはどれか。,,Webブラウザだけでメールサービスを使用できるようにする。,定められたメンテナンス時間以外はいつでもメールサービスを使用できるようにする。,自分宛てのメールを他人が勝手に読むことができないようにする。,送信したメールが改ざんされてしまうことがないようにする。,2,"可用性(Availability)とは、サービスが正常に提供され続けることを示す度合いであり、利用者の要求に対してどの程度にサービスが利用可能であるかを表します。可用性の指標として稼働率があります。

可用性の要件としては、""サービスを利用可能な時間帯""や""期間内の許容停止時間""及び""計画停止の予定""などのサービスの利用可能性に関する事項が定められます。",
194,ストラテジ系,コーポレートガバナンスの観点から，経営の意思決定プロセスを監視・監督する機能を強化する方法として，最も適切なものはどれか。,,社長室への出入りを監視するためのカメラを設置する。,定期的に私立探偵に経営者の素行調査を依頼する。,取締役の一部を社外取締役にする。,法学部出身者を内部監査部門の社員として雇用する。,3,"コーポレートガバナンスは、企業統治とも訳され、企業の経営について利害関係者が監視・規律することで「企業の収益力の強化」と「企業の不祥事を防ぐ」という2つの目的を達成するための仕組みです。

社外取締役とは、社外にいながら取締役を務める人物のことで、経営判断を監督することを目的として選任されます。会社の代表取締役などと直接の利害関係をもたない独立した立場からの監督機能が加わることで、一部の経営者のワンマン経営や組織ぐるみの不正行為が防止されるので、コーポレートガバナンスの強化に繋がります。",
195,ストラテジ系,ある企業の損益計算書が表のとおりであるとき，この会計期間の経常利益は何百万円か。,195qa.png,400,580,600,5000,3,"経常利益(けいじょうりえき)は、営業利益に営業外損益を加減して計算される企業の普段の利益を表す指標です。

　経常利益＝営業利益＋営業外収益－営業外費用

設問の損益計算書では、
【利益A】＝売上総利益(粗利益)
【利益B】＝営業利益
【利益C】＝経常利益
【利益D】＝税引前当期純利益
になるので、【利益A】から順に計算していきます。

[利益A:売上総利益]
売上総利益は「売上高－売上原価」で計算するので、

　10,000－5,000＝5,000

5,000百万円です。

[利益B:営業利益]
営業利益は「売上総利益－販売費及び一般管理費」で計算するので、

　5,000－4,600＝400

400百万円です。

[利益C:経常利益]
経常利益は「営業利益＋営業外収益－営業外費用」で計算するので、

　400＋1,200－1,000＝600

したがって適切な答えは600百万円です。

経常利益は計算できましたが、最後の利益Dの計算手順も掲載しておきます。

[利益D:税引前当期純利益]
税引前当期純利益は「経常利益＋特別利益－特別損失」で計算するので、

　600＋30－50＝580

580百万円です。",195exp.png
196,テクノロジ系,システムで利用するハードディスクをRAIDのミラーリング構成にすることによって，高めることができる情報セキュリティの要素はどれか。,,可用性,機密性,真正性,責任追跡性,1,"ミラーリングは、同じデータを2台のディスクに書き込むことで、信頼性を向上させる仕組みです。

ミラーリングを採用したシステムでは、片方のハードディスクに障害が発生しても、もう片方のハードディスクは正常に稼働しているので、継ぎ目なく業務処理を続行することができ、システムの可用性を高めることができます。
　・可用性
　情報セキュリティマネジメントの概念の一要素で、障害が発生しても安定したサービスを提供でき、ユーザーが必要な時にシステムを利用可能である特性",
197,ストラテジ系,経営理念を説明したものはどれか。,,企業が活動する際に指針となる基本的な考え方であり，企業の存在意義や価値観などを示したもの,企業が競争優位性を構築するために活用する資源であり，一般的に人・物・金・情報で分類されるもの,企業の将来の方向を示したビジョンを具現化するための意思決定計画であり，長期・中期・短期の別に策定されるもの,企業のもつ個性，固有の企業らしさのことで社風とも呼ばれ，長年の企業活動の中で生み出され定着してきたもの,1,"経営理念は、事業遂行における基本的価値観と目的意識を示したものであり、この組織またはそこに働く人々は何を目的として集まっているのかという根本的な目的を端的に表した文章です。企業理念や基本理念とも呼ばれます。

トヨタ自動車を例にとると、次のような企業理念を定めて社員や顧客に企業の立場を示しています。
　１．内外の法およびその精神を遵守し、オープンでフェアな企業活動を通じて、国際社会から信頼される企業市民をめざす
　２．各国、各地域の文化、慣習を尊重し、地域に根ざした企業活動を通じて、経済・社会の発展に貢献する
　３．クリーンで安全な商品の提供を使命とし、あらゆる企業活動を通じて、住みよい地球と豊かな社会づくりに取り組む
　４．様々な分野での最先端技術の研究と開発に努め、世界中のお客様のご要望にお応えする魅力あふれる商品・サービスを提供する
　５．労使相互信頼・責任を基本に、個人の創造力とチームワークの強みを最大限に高める企業風土をつくる
　６．グローバルで革新的な経営により、社会との調和ある成長をめざす
　７．開かれた取引関係を基本に、互いに研究と創造に努め、長期安定的な成長と共存共栄を実現する",
198,マネジメント系,"プロジェクトに該当する事例として，適切なものだけを全て挙げたものはどれか。

　a.会社合併に伴う新組織への移行
　b.社内システムの問合せや不具合を受け付けるサービスデスクの運用
　c.新規の経理システム導入に向けたプログラム開発
　d.毎年度末に実施する会計処理",,"a, c","b, c","b, d",c,1,"プロジェクトとは、特定の目的や大きな目標を達成するために実行される、定常業務ではない一度限りの活動や計画をいいます。PMBOKが「プロジェクトとは、独自の製品、サービス、所産を創造するために実施される有期性の業務である」と定義しているように、プロジェクトが備える特性は次の2つです。
　・独自性　一度限りの独自の成果を生み出すために遂行される
　・有期性　始まりと終わりがある

　a.適切。合併という目標達成のために行われる一度限りの業務なので独自性があり、合併が成功すれば終わるので有期性もあります。したがってプロジェクトに該当します。
　b.不適切。いわゆる定常業務は独自性も有期性もないため、プロジェクトではありません。
　c.適切。プログラム開発は案件ごとに内容が異なるので独自性があり、開発完了により終わるので有期性もあります。したがってプロジェクトに該当します。
　d.不適切。毎年行われる定型的な業務であって独自性がないため、プロジェクトではありません。",
199,ストラテジ系,POSシステムなどで商品を一意に識別するために，バーコードとして商品に印刷されたコードはどれか。,,JAN,JAS,JIS,QR,1,POS(Point Of Sales：販売時点情報管理)は、小売店等の販売情報を販売して時点で情報システムに取り込む管理手法です。小売業やサービス業、レストラン、ホテルなどさまざまな業種で使用されていて、顧客が商品を購入した際に商品のバーコードをスキャンすることで、商品、日時、価格、支払方法、顧客属性などがリアルタイムにPOSシステムに取り込まれる仕組みになっています。一般的に、商品のバーコードには「JANコード」という商品識別バーコードが用いられています。,199exp.png
200,マネジメント系,サービスデスクに関する説明として，適切なものはどれか。,,サービスデスクは自動応答する仕組みでなければならない。,自社内に設置するものであり，当該業務をアウトソースすることはない。,システムの操作方法などの問合せを電子メールや電話で受け付ける。,受注などの電話を受けるインバウンドと，セールスなどの電話をかけるアウトバウンドに分類できる。,3,サービスデスクは、利用者に対して「単一の窓口」を提供し、様々な問い合わせを受付け、その記録を一元管理すると共に問題解決を行う適切な部門・あるいはプロセスへの引き継ぎを担当する部門です。,
